"strain"	"expt"	"Tc"	"Wc"	"Tg"	"Wg"	"Bmin"	"Bmax"	"B0"	"Half.0.raw"
"M34"	"M34 030105"	4.711936	11.621621	6.804481	9.613792	0.001262626	0.2394366	0.001262626	0
"M34"	"M34 100505"	3.152253	4.827901	5	5	0.008868349	0.0633694	0.008868349	0.0017486885
"M34"	"M34, 041806"	6.6	16	8	15	0.008	0.3	0.007	0.0019
"M34"	"M34.100506.37C.tab"	3.1531313628233	4.8398236408459	4.5	10	0.00722059439095856	0.0633693972179289	0.00886834873844617	0.00174868848363727
"M34"	"M34, 050306"	7.4	6.2	8.23	2.3	0.006	0.058	0.006	0.0005930026
"101S"	"101S,050806"	4.39821253432751	12.6225232621093	4.875	10	0.00146305779078274	0.02	0.00340425531914894	0.000283687943262411
"M1-2"	"M1-2,050806"	6.53130131368625	17.2579215855248	6.875	10	0.00149365197908887	0.0203735144312394	0.00256045519203414	0.000284495021337127
"M13"	"M13,050806"	7.6902484099369	17.5188554124654	11.8421805835339	10.7338669980444	0.00124223602484472	0.152153558052434	0.00124223602484472	0.00031055900621118
"M14"	"M14,050806"	3.23356886711082	3.52611270751285	7.9038051040821	23.9451161149562	0.00650887573964497	0.136208853575482	0.00650887573964497	0
"M2-8"	"M2-8,050706"	3.19728992337556	9.76013686198194	3.91666666666667	10	0.000841750841750842	0.0155339805825243	0.00285388127853881	0.000570776255707763
"M32"	"M32,050806"	8.79997436896777	5.9861207613268	8.95833333333333	20	0.00959860383944154	0.0206948927283083	0.0119465917076599	0.000878425860857344
"M5"	"M5,050806"	6.30892090563504	19.314995540712	9.1283104440374	7.52669021200144	0.000598444045481747	0.296593186372746	0.00225073148773351	0.000900292595093405
"M8"	"M8,050806"	5.05910938976326	10.9821331062662	16.5698647852235	14.7087447732687	0.00383141762452107	0.29375	0.00547008547008547	0.00136752136752137
"YPS128"	"YPS128,050806"	6.88567411017577	5.85314671826423	13.7945833119029	5.51894781360713	0.0224986281324309	0.4	0.0224986281324309	0.00201207243460765
"YPS163"	"YPS163,050806"	5.68160014740738	4.96044137686693	10.3245444064446	10	0.0136892539356605	0.2	0.0150652213852655	0.0011023332720926
"101S"	"101S,053006"	4.70508960262987	12	7.45016165330513	12	0.0017636684303351	0.105263157894737	0.00581727522983431	0.000727159403729289
"M1-2"	"M1-2,053006"	7.17089794536463	17	7.83333333333333	17	0.00142551674982181	0.0804924242424242	0.00294015242369144	0.000116058648303609
