strain	ARLS	R0	G	CLS	Pblack	R0.5
101S	31.3276125	0.0012098	0.1421899	3.3935315	0.002867263	0.000169635
M1-2	27.8696845	0.0024437	0.128362	10.370586	0.001804166	0.000164609
M13	26.6502041	0.0029551	0.1252717	16.27332	0.001915971	0.000137382
M14	36.5844444	0.0018812	0.0949553	7.212224	0.008542445	0.001357958
M2-8	24.7707937	0.0041838	0.1193465	4.124016	0.002572899	0.001005747
M32	28.1375	0.0017568	0.1417765	6.422428	0.012184116	0.002312673
M34	26.8427467	0.0012919	0.1629953	5.167521	0.008868349	0.001780264
M5	36.7428872	0.004031	0.0681621	4.934624667	0.001632961	0.000126024
M8	35.0913889	0.0003775	0.1619232	10.49283	0.005777961	0.000208768
SGU57	23.5713436	0.0080278	0.0901459	9.258796	0.008998875	0.0395189003436426
YPS128	34.9985297	0.0011183	0.1209893	3.309616	0.002603939	0.000623017
YPS163	34.3930769	0.0008251	0.13509	4.1845025	0.002952856	0.000512138
