Strain,OD600,dilution,date,H2O2 treatment,white,black,halfblack,quatblack,3quatblack,quatquatblack,others,Notes
YPS 128,0.9,100,12/9/11,0,315,1,0,0,0,0,0,
YPS 128,0.9,100,12/9/11,0,356,1,0,0,0,0,0,
YPS 128,0.9,100,12/9/11,0,310,2,0,0,0,0,0,
YPS 128,0.9,100,12/9/11,0.005,280,3,9,1,1,0,5,
YPS 128,0.9,100,12/9/11,0.005,240,2,6,3,1,0,11,
YPS 128,0.9,100,12/9/11,0.005,289,2,7,5,2,0,7,
YPS 128,0.9,100,12/9/11,0.01,287,4,5,7,0,0,7,
YPS 128,0.9,100,12/9/11,0.01,NA,NA,0,0,0,0,0,"PLATE HAS FEW COLONIES, set to NA"
YPS 128,0.9,100,12/9/11,0.01,276,0,6,6,0,0,7,
YPS 128,0.9,100,12/9/11,0.02,184,4,1,1,0,0,14,
YPS 128,0.9,100,12/9/11,0.02,203,5,3,2,0,0,10,
YPS 128,0.9,100,12/9/11,0.02,209,4,5,5,2,0,14,
YPS 128,0.9,100,12/9/11,0.025,154,4,4,4,0,0,0,
YPS 128,0.9,100,12/9/11,0.025,0,0,0,0,0,0,0,
YPS 128,0.9,100,12/9/11,0.025,0,0,0,0,0,0,0,
YPS 128,0.9,100,12/9/11,0.05,87,6,6,3,1,0,3
YPS 128,0.9,100,12/9/11,0.05,57,0,6,3,0,0,5
YPS 128,0.9,100,12/9/11,0.05,70,8,5,1,0,0,3
YPS 128,0.9,100,12/9/11,0.06,78,8,2,2,1,0,2
YPS 128,0.9,100,12/9/11,0.06,70,13,1,0,0,0,2
YPS 128,0.9,100,12/9/11,0.06,76,3,1,4,0,0,5
YPS 128,0.9,100,12/9/11,0.075,35,4,0,1,0,0,1
YPS 128,0.9,100,12/9/11,0.075,37,5,0,2,0,0,2
YPS 129,0.9,100,12/9/11,0.075,28,4,0,0,0,0,1
