Strain,OD600,dilutions,date,H2O2 treatment,white,black,halfblack,quatblack,3quatblac,quatquatblack,other,notes
YPS163*,1.042,500000,4/8/2011,0.3,0,0,0,0,0,0,0,
YPS163*,1.042,500000,4/8/2011,0.3,1,0,0,0,0,0,0,
YPS163*,1.042,500000,4/8/2011,0.3,2,0,0,0,0,0,0,
YPS163*,1.042,500000,4/8/2011,0.2,1,0,0,1,0,0,0,
YPS163*,1.042,500000,4/8/2011,0.2,2,0,0,0,0,0,0,
YPS163*,1.042,500000,4/8/2011,0.2,1,0,0,0,0,0,0,
YPS163*,1.042,500000,4/8/2011,0.15,11,1,0,2,0,0,0,
YPS163*,1.042,500000,4/8/2011,0.15,8,0,0,1,1,0,0,
YPS163*,1.042,500000,4/8/2011,0.15,5,0,0,0,0,0,0,
YPS163*,1.042,5000000,4/8/2011,0.1,6,0,1,0,0,0,0,
YPS163*,1.042,5000000,4/8/2011,0.1,10,0,0,0,0,0,0,
YPS163*,1.042,5000000,4/8/2011,0.1,5,0,0,1,0,0,0,
YPS163*,1.042,5000000,4/8/2011,0.075,40,1,3,1,2,0,0,
YPS163*,1.042,5000000,4/8/2011,0.075,36,3,1,4,2,0,0,
YPS163*,1.042,5000000,4/8/2011,0.075,28,1,3,3,1,0,0,
YPS163*,1.042,5000000,4/8/2011,0.05,36,4,2,4,1,0,0,
YPS163*,1.042,5000000,4/8/2011,0.05,33,6,2,3,2,0,0,
YPS163*,1.042,5000000,4/8/2011,0.05,51,7,2,0,1,0,0,
YPS163*,1.042,5000000,4/8/2011,0.025,290,18,10,23,6,0,0,
YPS163*,1.042,5000000,4/8/2011,0.025,248,11,14,11,7,0,0,
YPS163*,1.042,5000000,4/8/2011,0.025,258,9,12,14,7,0,0,
YPS163*,1.042,5000000,4/8/2011,0.01,373,16,23,21,7,1,0,
YPS163*,1.042,5000000,4/8/2011,0.01,398,8,13,22,6,1,0,
YPS163*,1.042,5000000,4/8/2011,0.01,375,12,21,19,10,1,0,
YPS163*,1.042,5000000,4/8/2011,0.005,461,1,10,18,1,1,0,
YPS163*,1.042,5000000,4/8/2011,0.005,452,0,16,14,2,0,0,
YPS163*,1.042,5000000,4/8/2011,0.005,470,0,5,10,0,0,0,
YPS163*,1.042,5000000,4/8/2011,0,510,1,1,0,0,0,0,
YPS163*,1.042,5000000,4/8/2011,0,478,1,0,1,0,0,0,
YPS163*,1.042,5000000,4/8/2011,0,429,1,0,1,0,0,0,
