Strain,OD600,Dilutions,Date,H2O2 Treatment(%),White,Black,Half Black,Quarterblack,3/4black,Quar.quarblack,other,Notes
M32*,0.91,100,1/10/2012,0,134,0,1,0,0,0,0,
M32*,0.91,100,1/10/2012,0.1,236,0,3,2,0,0,0,
M32*,0.91,100,1/10/2012,0.2,231,0,1,3,1,0,2,
M32*,0.91,100,1/10/2012,0.3,231,1,3,6,0,0,3,
M32*,0.91,100,1/10/2012,0.4,221,3,2,5,1,0,1,
M32*,0.91,100,1/10/2012,0.5,202,2,2,5,0,0,2,
M32*,0.91,100,1/10/2012,0.6,160,2,5,6,0,0,2,
M32*,0.91,40,1/10/2012,0.7,230,8,4,3,3,0,2,
M32*,0.91,40,1/10/2012,0.8,202,5,4,1,2,0,0,smear center
M32*,0.91,40,1/10/2012,0.9,172,3,1,0,4,0,0,
M32*,0.91,40,1/10/2012,1,169,0,3,3,1,0,0,
