Strain,OD600,Dilution,Date,H2O2 treatment(%),White,Black,Half Black,quarterblack,3/4black,quart.quarblack,others ,Notes
SG 457,0.9,100,1/6/2012,0,247,1,0,0,0,0,0,
SG 457,0.9,100,1/6/2012,0,173,0,0,0,0,0,1,
SG 457,0.9,100,1/6/2012,0,191,0,0,0,0,0,0,
SG 457,0.9,100,1/6/2012,0.005,183,2,1,1,0,0,1,
SG 457,0.9,100,1/6/2012,0.005,165,3,0,0,0,0,2,
SG 457,0.9,100,1/6/2012,0.005,177,2,0,0,0,0,3,
SG 457,0.9,100,1/6/2012,0.01,192,2,1,0,1,0,0,
SG 457,0.9,100,1/6/2012,0.01,200,1,0,0,0,0,4,
SG 457,0.9,100,1/6/2012,0.01,201,3,1,1,0,0,4,
SG 457,0.9,100,1/6/2012,0.025,168,4,0,3,0,0,5,
SG 457,0.9,100,1/6/2012,0.025,150,4,1,1,1,0,5,
SG 457,0.9,100,1/6/2012,0.025,163,5,1,1,0,0,3,
SG 457,0.9,100,1/6/2012,0.05,130,4,0,4,1,0,3,
SG 457,0.9,100,1/6/2012,0.05,134,0,1,6,1,0,3,
SG 457,0.9,100,1/6/2012,0.05,108,8,2,2,0,0,4,
SG 457,0.9,100,1/6/2012,0.075,65,4,1,1,1,0,3,
SG 457,0.9,100,1/6/2012,0.075,46,1,1,0,0,0,1,
SG 457,0.9,100,1/6/2012,0.075,59,3,2,1,0,0,0,
SG 457,0.9,100,1/6/2012,0.1,43,5,1,3,0,0,0,
SG 457,0.9,100,1/6/2012,0.1,41,2,2,0,0,0,2,
SG 457,0.9,100,1/6/2012,0.1,18,1,1,0,0,0,1,
SG 457,0.9,10,1/6/2012,0.15,277,9,1,3,1,0,1,
SG 457,0.9,10,1/6/2012,0.15,229,6,3,4,0,0,5,
SG 457,0.9,10,1/6/2012,0.15,250,8,3,3,1,0,6,
SG 457,0.9,10,1/6/2012,0.2,155,5,2,3,0,0,6,
SG 457,0.9,10,1/6/2012,0.2,164,4,2,2,0,0,4,
SG 457,0.9,10,1/6/2012,0.2,153,3,1,1,1,0,2,
SG 457,0.9,10,1/6/2012,0.3,35,2,3,0,0,0,0,
SG 457,0.9,10,1/6/2012,0.3,40,2,1,0,0,0,2,
SG 457,0.9,10,1/6/2012,0.3,43,2,1,0,1,0,2,
