Strain,OD600,Dilution,Date,H2O2 treatment (%),White,Black,Halfblack,quarterblack,3quarterblack,quat/quatblack,other
M34*,1.05,100,4/20/2011,0,303,3,0,0,1,1,0
M34*,1.05,100,4/20/2011,0,281,0,0,3,0,0,1
M34*,1.05,100,4/20/2011,0,290,1,1,2,1,0,0
M34*,1.05,100,4/20/2011,0.005,301,0,3,10,3,0,0
M34*,1.05,100,4/20/2011,0.005,287,4,4,12,3,0,0
M34*,1.05,100,4/20/2011,0.005,290,4,2,2,2,1,0
M34*,1.05,100,4/20/2011,0.01,281,3,3,13,1,0,0
M34*,1.05,100,4/20/2011,0.01,288,3,5,11,3,0,0
M34*,1.05,100,4/20/2011,0.01,277,2,3,5,1,0,0
M34*,1.05,100,4/20/2011,0.025,281,3,5,11,1,1,0
M34*,1.05,100,4/20/2011,0.025,276,4,7,10,1,1,0
M34*,1.05,100,4/20/2011,0.025,286,6,11,15,2,1,0
M34*,1.05,100,4/20/2011,0.05,276,6,9,16,4,0,0
M34*,1.05,100,4/20/2011,0.05,294,2,9,16,3,1,0
M34*,1.05,100,4/20/2011,0.05,250,5,7,18,3,0,0
M34*,1.05,100,4/20/2011,0.075,268,5,15,18,4,0,0
M34*,1.05,100,4/20/2011,0.075,243,9,16,14,7,1,0
M34*,1.05,100,4/20/2011,0.075,240,8,17,17,3,0,0
M34*,1.05,100,4/20/2011,0.1,233,9,8,24,3,0,4
M34*,1.05,100,4/20/2011,0.1,244,5,9,18,5,1,0
M34*,1.05,100,4/20/2011,0.1,218,4,14,18,4,0,0
M34*,1.05,40,4/20/2011,0.15,285,4,16,11,3,1,0
M34*,1.05,40,4/20/2011,0.15,301,6,10,12,5,1,0
M34*,1.05,40,4/20/2011,0.15,303,7,8,17,2,0,0
M34*,1.05,40,4/20/2011,0.2,149,8,8,9,0,0,0
M34*,1.05,40,4/20/2011,0.2,130,9,6,8,1,0,0
M34*,1.05,40,4/20/2011,0.2,172,13,8,10,4,0,0
M34*,1.05,10,4/20/2011,0.3,137,11,10,5,2,0,0
M34*,1.05,10,4/20/2011,0.3,156,6,9,10,4,0,0
M34*,1.05,10,4/20/2011,0.3,148,5,11,5,4,0,0
