Date,Strain,H2O2 Conc. at Viability mid point,H2O2 Conc. at Black colony count mid point ,OD600nm,Notes,repeat
4/22/11,M1-2,0.065,0.05,,,
8/26/11,M1-2,NA,0.063,,"For ""black"" line the value provided is a very rough estimate. ",
12/7/11,M1-2,0.05,0.015,1,"Needs to be redone in R because line for ""black"" is variable. Once redone, however, same graph was obtained.",
6/6/11,M2-8,0.03,0.12,,,
8/17/11,M2-8,0.04,0.085,,,
12/19/11,M2-8,0.055,0.03,1,,
2/25/11,M5,0.05,0.1,,,
8/16/11,M5,0.075,0.072,,"For viability, midpoint of scale was .5 because the line only went from about 0.2 to 1.0",repeat
2/8/11,M8,0.06,0.08,,,
3/30/11,M8,0.04,0.025,,,
12/15/11,M8,0.07,0.02,0.9,,repeat
5/18/11,M13,0.005,0.005,,line for viability has an outlier (difficult to interpret),
8/24/11,M13,0.028,0.007,,"Viability goes down to 0.4 (viability didn't completely finish); for mutation (black), the line begins to plateau at about 0.02.",
12/2/11,M13,0.035,0.002,0.9,,
5/25/11,M32,0.06,0.03,,,wrong strain? 
8/10/11,M32,0.12,0.01,,"Viability goes from 1.0 to .4 (viability line didn't completely finish); seems to ""plateau"" at .020 (for black colonies)--> this is where the measurement starts. ",repeated using R
12/16/11,M32,0.15,0.02,0.9,>0.15,
1/4/12,M32,0.25,0.1,1.1,,repeat? 
1/10/12,M32,0.25,0.15,0.91,,
4/20/11,M34,0.07,0.068,,,
8/23/11,M34,0.13,0.04,,"For the black line, there is an outlier at 0.01. ",
4/29/11,YPS128,0.005,0.006,,"For black line, there was such a fast drop in viability that there is a data error. However, if we disregard the data error, the plateau begins at around 0.016 (y-left part of the graph)",
12/9/11,YPS128,0.012,0.025,0.9,,
4/8/11,YPS163,0.02,0.025,,,
4/13/11,YPS163,0.016,0.015,,,
1/6/12,SGU57,0.035,0.015,0.9,,
1/12/12,SGU57,0.02,0.005,1.1,,
1/13/12,SGU57,0.02,0.005,1,,
