strain	cls	se
101S	3.3935315	0.177621687900155
BY4716	11.56846	NA
BY4743	9.7465375	1.72633058070898
M1-2	10.370586	3.17877562258049
M13	16.27332	3.73618823295883
M14	7.212224	0.243083512382061
M2-8	4.124016	0.668780179432674
M22	5.151311	2.11102316398565
M32	6.422428	0.819426450737344
M34	5.167521	0.380016582043468
M5	4.93462466666667	0.449090470398040
M8	10.49283	0.129075271837792
RM11	12.713809	2.92868490867198
RXB.1	16.41419	NA
SGU57	9.258796	0.74848384159446
SK1	4.955245	0.933752889333147
W303	16.366617	4.79926009792857
YPS128	3.309616	0.0215314014871304
YPS163	4.1845025	1.05612973863276
