"strain"	"ARLS"	"R0"	"G"	"CLS"	"strain"	"Nloh"	"Tc"	"Tc.sd"	"Tg"	"Tg.sd"	"Tmmax"	"Tmmax.sd"	"Tbmax"	"Tbmax.sd"	"Td"	"Td.sd"	"Tdmax"	"Tdmax.sd"	"b.max"	"b.max.sd"	"b.min"	"b.min.sd"	"TLmax"	"TLmax.sd"	"Lmax"	"Lmax.sd"	"strains"	"L0.all"	"L0.small"	"Pbt0"	"Pb0.5t0"	"Pbt0.b"	"Pbt0.sd"	"Pb0.5t0.b"	"Pb0.5t0.sd"	"L0.sd"
"101S"	31.327612500000	0.001209800000	0.142189900000	3.393531500000	"101S"	3.000000000000	4.580000000000	0.410731055558	5.686666666667	0.914840605424	5.483333333333	0.416333199893	5.633333333333	0.929157324318	4.786666666667	0.398288003000	5.633333333333	0.929157324318	0.043333333333	0.020816659995	0.000000000000	0.000000000000	6.653333333333	1.063077294148	2.490000000000	0.468081189539	"101S"	0.159574468085	0.095238095238	0.002800933645	0.000266755585	0.002777547915	0.001072054483	0.000330837424	0.000555158600	0.201528972838
"M1-2"	27.869684500000	0.002443700000	0.128362000000	10.370586000000	"M1-2"	3.000000000000	6.273333333333	0.385529938310	6.930000000000	0.876070773397	7.316666666667	0.453688586294	6.833333333333	0.927811043981	6.930000000000	0.876070773397	6.833333333333	0.927811043981	0.040000000000	0.026457513111	0.000000000000	0.000000000000	7.653333333333	1.473137241853	0.706666666667	0.310053758780	"M1-2"	0.061643835616	0.035714285714	0.001839322078	0.000065690074	0.001893661701	0.001511865647	0.000087950748	0.000278124684	0.154033669013
"M13"	26.650204100000	0.002955100000	0.125271700000	16.273320000000	"M13"	3.000000000000	8.010000000000	0.294618397253	11.053333333333	1.025881734574	9.433333333333	0.354729944230	11.083333333333	1.029967637032	9.246666666667	1.530272306922	11.083333333333	1.029967637032	0.136666666667	0.015275252317	0.000000000000	0.000000000000	9.666666666667	2.715388247256	0.653333333333	0.445234020862	"M13"	0.093457943925	0.125000000000	0.001976968319	0.000247121040	0.002148448193	0.001725193747	0.000227876726	0.000321664992	0.195887516893
"M14"	36.584444400000	0.001881200000	0.094955300000	7.212224000000	"M14"	3.000000000000	3.960000000000	1.153646392965	7.043333333333	0.502029215617	4.900000000000	1.003742994994	7.016666666667	0.464578662159	5.840000000000	1.845210015147	7.016666666667	0.464578662159	0.163333333333	0.049328828623	0.003333333333	0.005773502692	9.500000000000	3.041381265149	1.200000000000	0.888819441732	"M14"	0.112244897959	0.109756097561	0.006997184060	0.000767983616	0.006603943312	0.003272803683	0.000571076481	0.000665652110	0.108099090370
"M2-8"	24.770793700000	0.004183800000	0.119346500000	4.124016000000	"M2-8 "	4.000000000000	4.122500000000	0.653012251034	4.507500000000	0.429214398640	5.100000000000	0.811377429643	4.487500000000	0.455292945988	5.870000000000	1.743062439119	4.487500000000	0.455292945988	0.034250000000	0.018945096111	0.000000000000	0.000000000000	7.020000000000	1.408616342373	3.345000000000	2.847858844817	"M2-8"	0.148594377510	0.163636363636	0.003665689150	0.000599840043	0.003906928775	0.002487656275	0.000456908410	0.000646897657	0.208506199308
"M32"	28.137500000000	0.001756800000	0.141776500000	6.422428000000	"M32"	3.000000000000	7.963333333333	0.725419418911	7.413333333333	1.791712402517	9.733333333333	1.625833119768	7.350000000000	1.751427988814	8.206666666667	0.652405804184	7.350000000000	1.751427988814	0.030000000000	0.010000000000	0.010000000000	0.000000000000	7.626666666667	1.515959542116	0.596666666667	0.080208062770	"M32"	0.109625668449	0.134408602151	0.012354699435	0.001660577881	0.012523863600	0.002088662165	0.001774366519	0.001059923612	0.088749345738
"M34"	26.842746700000	0.001291900000	0.162995300000	5.167521000000	"M34"	4.000000000000	6.732500000000	1.496448573568	8.212500000000	1.316773202441	8.325000000000	1.965324400703	8.300000000000	1.345981673971	8.382500000000	0.565412828530	8.300000000000	1.345981673971	0.222500000000	0.120104121495	0.002500000000	0.005000000000	7.552500000000	1.912195509530	0.792500000000	0.359942124978	"M34"	0.171348314607	0.161764705882	0.007270653646	0.001176135149	0.006884872792	0.005407766925	0.000931870942	0.001081288408	0.191294991189
"M5"	36.742887200000	0.004031000000	0.068162100000	4.934624666667	"M5"	3.000000000000	5.920000000000	0.441927595880	7.816666666667	1.495337197201	7.050000000000	0.264575131106	7.833333333333	1.675062187900	6.546666666667	0.638931399552	7.833333333333	1.675062187900	0.243333333333	0.153079500043	0.000000000000	0.000000000000	6.906666666667	0.880302978146	1.840000000000	1.263012272308	"M5"	0.171875000000	0.179487179487	0.002005347594	0.000359934183	0.002064235859	0.000698519025	0.000559933781	0.000710431818	0.359743093652
"M8"	35.091388900000	0.000377500000	0.161923200000	10.492830000000	"M8"	3.000000000000	6.783333333333	2.437156813447	11.466666666667	4.408563636076	8.216666666667	2.983845393671	11.516666666667	4.447564876799	6.026666666667	2.000533262241	11.516666666667	4.447564876799	0.166666666667	0.146401275040	0.000000000000	0.000000000000	6.873333333333	1.898666198502	1.240000000000	0.965763946314	"M8"	0.058103975535	0.074712643678	0.006371525871	0.000476033542	0.006337542947	0.002281037087	0.000584939203	0.000718870042	0.115952585418
"YPS128"	34.998529700000	0.001118300000	0.120989300000	3.309616000000	"YPS128"	3.000000000000	8.630000000000	3.170220812499	12.873333333333	4.635691246549	10.750000000000	3.250000000000	12.450000000000	3.965160778581	11.420000000000	5.719685306029	12.450000000000	3.965160778581	0.206666666667	0.174737898961	0.013333333333	0.011547005384	11.766666666667	6.191424176499	1.733333333333	1.338108117206	"YPS128"	0.183531746032	0.091666666667	0.010867104369	0.000996151234	0.011063665771	0.010342027926	0.001015319375	0.001007775184	0.127320101979
