strain,OD600,dilutions,date,H2O2 treatment,white,black,halfblack,quatblack,3quatblack,quatquatblack,other,notes
M1-2*,0.954,100,8/26/2011,0,339,0,0,1,0,0,0,
M1-2*,0.954,100,8/26/2011,0,330,0,0,1,0,0,0,
M1-2*,0.954,100,8/26/2011,0,298,0,0,0,0,0,0,smear
M1-2*,0.954,100,8/26/2011,0.005,288,0,7,5,0,0,1,
M1-2*,0.954,100,8/26/2011,0.005,310,1,4,5,2,0,0,
M1-2*,0.954,100,8/26/2011,0.005,276,0,6,3,2,0,1,black/brown mix
M1-2*,0.954,100,8/26/2011,0.01,242,4,1,11,0,0,0,
M1-2*,0.954,100,8/26/2011,0.01,273,1,3,7,4,0,0,
M1-2*,0.954,100,8/26/2011,0.01,276,5,6,7,1,0,0,
M1-2*,0.954,100,8/26/2011,0.025,226,3,7,18,7,1,1,1/2 black 1/4 black
M1-2*,0.954,100,8/26/2011,0.025,267,15,4,13,5,1,0,
M1-2*,0.954,100,8/26/2011,0.025,232,8,6,19,5,2,0,
M1-2*,0.954,100,8/26/2011,0.05,154,5,5,1,1,0,4,1/5 black (2); 2/5 black (2)
M1-2*,0.954,100,8/26/2011,0.05,151,9,4,2,4,1,1,1/6 black (1)
M1-2*,0.954,100,8/26/2011,0.05,164,11,4,2,2,0,5,2/5 black (2); 1/6 black (1); 1/4 2/5 black (2)
M1-2*,0.954,100,8/26/2011,0.0075,135,11,9,0,3,0,3,1/6 black (2); 5/6 black (1)
M1-2*,0.954,100,8/26/2011,0.0075,142,4,5,3,1,0,5,3/5 black (5)
M1-2*,0.954,100,8/26/2011,0.0075,151,6,1,1,0,0,5,2/5 black (2); 3/5 black (3) 
M1-2*,0.954,100,8/26/2011,0.1,113,3,4,2,3,1,5,2/5 black (1); 1/5 black (2); 3/5 black (2)
M1-2*,0.954,100,8/26/2011,0.1,106,9,5,1,1,0,8,2/5 black (3); 1/6 black (3); 3/5 black (2)
M1-2*,0.954,100,8/26/2011,0.1,98,4,3,4,2,0,4,2/5 black (1); 1/6 black (3)
M1-2*,0.954,100,8/26/2011,0.15,303,18,11,17,10,1,1,
M1-2*,0.954,100,8/26/2011,0.15,294,25,11,24,11,2,1,
M1-2*,0.954,100,8/26/2011,0.15,279,25,12,26,14,1,0,
M1-2*,0.954,100,8/26/2011,0.2,106,17,13,9,4,1,1,
M1-2*,0.954,100,8/26/2011,0.2,124,16,8,13,5,2,1,
M1-2*,0.954,100,8/26/2011,0.2,111,12,6,16,6,3,0,
M1-2*,0.954,100,8/26/2011,0.3,165,5,8,5,2,1,2,2/5 black (2)
M1-2*,0.954,100,8/26/2011,0.3,150,8,6,5,5,0,3,2/5 black (3)
M1-2*,0.954,100,8/26/2011,0.3,71,5,8,2,2,2,2,1/6 black (2)
