Strain,OD600,dilution,date,H2O2 treatment ,white,black,halfblack,quatblack,3quatblack,quatquatblack,others,notes
M13*,0.9,100,12/2/2011,0,227,0,0,0,0,0,1,
M13*,0.9,100,12/2/2011,0,200,0,0,0,0,0,0,
M13*,0.9,100,12/2/2011,0,NA,NA,NA,NA,NA,NA,NA,
M13*,0.9,100,12/2/2011,0.005,244,0,3,2,0,0,1,
M13*,0.9,100,12/2/2011,0.005,231,0,1,0,0,0,4,
M13*,0.9,100,12/2/2011,0.005,215,1,0,0,0,0,2,
M13*,0.9,100,12/2/2011,0.01,228,3,4,3,0,0,3,
M13*,0.9,100,12/2/2011,0.01,232,0,2,2,1,0,4,
M13*,0.9,100,12/2/2011,0.01,248,0,1,2,0,0,5,
M13*,0.9,100,12/2/2011,0.025,150,1,0,0,0,0,0,
M13*,0.9,100,12/2/2011,0.025,185,3,3,1,0,0,6,
M13*,0.9,100,12/2/2011,0.025,200,5,1,2,3,0,3,
M13*,0.9,100,12/2/2011,0.05,142,5,7,1,2,0,4,
M13*,0.9,100,12/2/2011,0.05,182,5,3,2,0,0,2,
M13*,0.9,100,12/2/2011,0.05,148,7,1,2,1,0,5,
M13*,0.9,100,12/2/2011,0.075,NA,NA,NA,NA,NA,NA,NA,
M13*,0.9,100,12/2/2011,0.075,102,0,0,0,0,0,0,
M13*,0.9,100,12/2/2011,0.075,82,1,0,0,0,0,0,
M13*,0.9,100,12/2/2011,0.1,22,1,1,0,0,0,0,
M13*,0.9,100,12/2/2011,0.1,40,2,3,0,1,0,1,
M13*,0.9,100,12/2/2011,0.1,37,2,1,0,1,0,1,
M13*,0.9,10,12/2/2011,0.15,111,6,3,0,0,0,6,
M13*,0.9,10,12/2/2011,0.15,129,10,5,0,0,0,7,
M13*,0.9,10,12/2/2011,0.15,177,16,0,0,0,0,0,
M13*,0.9,10,12/2/2011,0.2,62,5,0,0,0,0,0,
M13*,0.9,10,12/2/2011,0.2,53,5,0,1,0,0,4,
M13*,0.9,10,12/2/2011,0.2,92,7,0,1,0,0,1,
M13*,0.9,10,12/2/2011,0.3,27,1,1,0,0,0,2,
M13*,0.9,10,12/2/2011,0.3,23,1,2,0,0,0,2,
M13*,0.9,10,12/2/2011,0.3,11,1,0,0,0,0,1,
