Strain,OD 600,dilution,date,H2O2 treatment (%),white,black,halfblack,quatblack,3quatblack,quatquatblack,others,notes
M2-8*,1,100,12/19/2011,0,330,1,0,0,0,0,1,
M2-8*,1,100,12/19/2011,0,329,2,0,0,0,0,2,
M2-8*,1,100,12/19/2011,0,331,1,0,0,0,0,0,
M2-8*,1,100,12/19/2011,0.005,328,2,0,3,0,0,2,
M2-8*,1,100,12/19/2011,0.005,300,3,2,2,1,0,2,
M2-8*,1,100,12/19/2011,0.005,327,2,1,0,1,0,3,
M2-8*,1,100,12/19/2011,0.01,289,2,3,3,0,0,6,
M2-8*,1,100,12/19/2011,0.01,287,3,1,4,1,0,6,
M2-8*,1,100,12/19/2011,0.01,292,2,3,6,1,0,4,
M2-8*,1,100,12/19/2011,0.025,280,0,3,0,1,0,12,
M2-8*,1,100,12/19/2011,0.025,282,3,8,3,1,0,14,
M2-8*,1,100,12/19/2011,0.025,279,2,2,2,0,0,12,
M2-8*,1,100,12/19/2011,0.05,242,1,3,4,1,0,14,
M2-8*,1,100,12/19/2011,0.05,231,3,4,4,1,0,8,
M2-8*,1,100,12/19/2011,0.05,243,3,5,4,0,0,12,
M2-8*,1,100,12/19/2011,0.075,229,4,6,3,1,0,17,
M2-8*,1,100,12/19/2011,0.075,225,5,7,8,2,0,17,
M2-8*,1,100,12/19/2011,0.075,230,4,7,2,0,0,14,
M2-8*,1,100,12/19/2011,0.1,207,6,9,7,1,0,18,
M2-8*,1,100,12/19/2011,0.1,225,3,2,2,0,0,19,
M2-8*,1,100,12/19/2011,0.1,210,1,6,2,1,0,19,
M2-8*,1,40,12/19/2011,0.15,188,6,8,7,3,0,21,
M2-8*,1,40,12/19/2011,0.15,190,5,10,5,0,0,19,
M2-8*,1,40,12/19/2011,0.15,182,6,6,4,0,0,22,
M2-8*,1,40,12/19/2011,0.2,162,4,8,5,2,0,14,
M2-8*,1,40,12/19/2011,0.2,151,3,11,6,0,0,15,
M2-8*,1,40,12/19/2011,0.2,160,3,5,3,0,0,8,
M2-8*,1,40,12/19/2011,0.3,124,3,2,4,0,0,2,
M2-8*,1,40,12/19/2011,0.3,106,0,3,2,0,0,2,
M2-8*,1,40,12/19/2011,0.3,112,3,3,0,0,0,1,
