Strain ,OD600,Dilution,Date,H2O2 Treatment(%),White,Black,HalfBlack,Quarterblack,3/4black,quar.quarblack,others,Notes
SG457,1.1,100,1/12/2012,0,236,2,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0,229,1,0,0,1,0,0,
SG457,1.1,100,1/12/2012,0,223,0,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.005,195,4,0,1,0,0,1,
SG457,1.1,100,1/12/2012,0.005,191,2,0,0,0,0,1,
SG457,1.1,100,1/12/2012,0.005,181,2,0,2,0,0,2,
SG457,1.1,100,1/12/2012,0.01,145,0,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.01,168,3,1,3,1,0,2,
SG457,1.1,100,1/12/2012,0.01,174,3,0,0,1,0,2,
SG457,1.1,100,1/12/2012,0.025,139,2,1,0,0,0,2,
SG457,1.1,100,1/12/2012,0.025,114,2,1,1,0,0,0,
SG457,1.1,100,1/12/2012,0.025,105,2,2,1,0,0,0,
SG457,1.1,100,1/12/2012,0.05,44,0,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.05,46,1,1,2,0,0,0,
SG457,1.1,100,1/12/2012,0.05,50,1,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.075,9,0,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.075,17,0,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.075,8,0,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.1,8,0,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.1,5,0,0,0,0,0,0,
SG457,1.1,100,1/12/2012,0.1,10,0,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.15,31,2,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.15,13,1,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.15,19,1,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.2,6,1,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.2,14,0,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.2,13,0,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.3,2,0,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.3,1,0,0,0,0,0,0,
SG457,1.1,10,1/12/2012,0.3,3,1,0,0,0,0,0,
