Strain,OD600,treatment,date,dilutions,white,black,halfblack,quatblack,3/4black,quat.quatblack,other
M32*,1.001,0,3/25/2011,100,342,3,1,1,0,0,0
M32*,1.001,0,3/25/2011,100,376,5,2,2,0,0,0
M32*,1.001,0,3/25/2011,100,371,4,0,0,1,0,0
M32*,1.001,0.005,3/25/2011,100,363,4,4,9,1,0,0
M32*,1.001,0.005,3/25/2011,100,387,4,4,7,0,0,0
M32*,1.001,0.005,3/25/2011,100,360,3,6,8,2,0,0
M32*,1.001,0.01,3/25/2011,100,333,2,3,3,0,0,0
M32*,1.001,0.01,3/25/2011,100,337,2,1,5,0,0,0
M32*,1.001,0.01,3/25/2011,100,375,1,2,8,0,0,0
M32*,1.001,0.025,3/25/2011,100,299,2,5,6,0,0,0
M32*,1.001,0.025,3/25/2011,100,352,2,5,3,0,0,0
M32*,1.001,0.025,3/25/2011,100,313,1,8,11,1,0,0
M32*,1.001,0.05,3/25/2011,100,366,4,5,2,3,0,0
M32*,1.001,0.05,3/25/2011,100,328,1,2,5,1,0,0
M32*,1.001,0.05,3/25/2011,100,365,2,3,5,0,0,0
M32*,1.001,0.075,3/25/2011,100,350,8,9,16,1,1,0
M32*,1.001,0.075,3/25/2011,100,301,4,8,11,2,0,0
M32*,1.001,0.075,3/25/2011,100,340,5,5,3,0,0,0
M32*,1.001,0.1,3/25/2011,100,356,8,7,8,4,0,0
M32*,1.001,0.1,3/25/2011,100,357,6,4,10,0,0,0
M32*,1.001,0.1,3/25/2011,100,337,5,8,9,2,0,0
M32*,1.001,0.15,3/25/2011,10,408,4,7,10,1,0,0
M32*,1.001,0.15,3/25/2011,10,410,3,4,11,2,0,0
M32*,1.001,0.15,3/25/2011,10,373,4,7,7,2,0,0
M32*,1.001,0.2,3/25/2011,10,302,6,4,11,1,0,0
M32*,1.001,0.2,3/25/2011,10,259,4,7,10,1,0,0
M32*,1.001,0.2,3/25/2011,10,351,6,4,5,1,0,0
M32*,1.001,0.3,3/25/2011,10,197,3,6,5,0,0,0
M32*,1.001,0.3,3/25/2011,10,238,5,8,13,3,0,0
M32*,1.001,0.3,3/25/2011,10,210,5,5,7,2,0,0
