Strain,OD600,dilutions,date,treatment,white,black,halfblack,quatblack,3/4black,quat.quatblack,other,notes
M32*,1.001,100,5/25/2011,0,342,3,1,1,0,0,0,
M32*,1.001,100,5/25/2011,0,376,5,2,2,0,0,0,
M32*,1.001,100,5/25/2011,0,371,4,0,0,1,0,0,
M32*,1.001,100,5/25/2011,0.005,363,4,4,9,1,0,0,
M32*,1.001,100,5/25/2011,0.005,387,4,4,7,0,0,0,
M32*,1.001,100,5/25/2011,0.005,360,3,6,8,2,0,0,
M32*,1.001,100,5/25/2011,0.01,333,2,3,3,0,0,0,
M32*,1.001,100,5/25/2011,0.01,337,2,1,5,0,0,0,
M32*,1.001,100,5/25/2011,0.01,375,1,2,8,0,0,0,
M32*,1.001,100,5/25/2011,0.025,299,2,5,6,0,0,0,
M32*,1.001,100,5/25/2011,0.025,352,2,5,3,0,0,0,
M32*,1.001,100,5/25/2011,0.025,313,1,8,11,1,0,0,
M32*,1.001,100,5/25/2011,0.05,366,4,5,2,3,0,0,
M32*,1.001,100,5/25/2011,0.05,328,1,2,5,1,0,0,
M32*,1.001,100,5/25/2011,0.05,365,2,3,5,0,0,0,
M32*,1.001,100,5/25/2011,0.075,350,8,9,16,1,1,0,
M32*,1.001,100,5/25/2011,0.075,301,4,8,11,2,0,0,
M32*,1.001,100,5/25/2011,0.075,340,5,5,3,0,0,0,
M32*,1.001,100,5/25/2011,0.1,356,8,7,8,4,0,0,
M32*,1.001,100,5/25/2011,0.1,357,6,4,10,0,0,0,
M32*,1.001,100,5/25/2011,0.1,337,5,8,9,2,0,0,
M32*,1.001,10,5/25/2011,0.15,408,4,7,10,1,0,0,
M32*,1.001,10,5/25/2011,0.15,410,3,4,11,2,0,0,
M32*,1.001,10,5/25/2011,0.15,373,4,7,7,2,0,0,
M32*,1.001,10,5/25/2011,0.2,302,6,4,11,1,0,0,
M32*,1.001,10,5/25/2011,0.2,259,4,7,10,1,0,0,
M32*,1.001,10,5/25/2011,0.2,351,6,4,5,1,0,0,
M32*,1.001,10,5/25/2011,0.3,197,3,6,5,0,0,0,
M32*,1.001,10,5/25/2011,0.3,238,5,8,13,3,0,0,
M32*,1.001,10,5/25/2011,0.3,210,5,5,7,2,0,0,
