Strain,OD600nm,Dilution,Date,H2O2 treatment (%),White,Black,HalfBlack,quarterBlack,3quarterBlack,quat.quatBlack,Other,Notes
M34*,1.038,100,8/23/2011,0,317,2,0,6,2,0,0,
M34*,1.038,100,8/23/2011,0,281,1,1,1,1,0,0,
M34*,1.038,100,8/23/2011,0,354,1,1,1,3,0,0,
M34*,1.038,100,8/23/2011,0.005,284,1,3,5,1,0,0,
M34*,1.038,100,8/23/2011,0.005,280,1,3,5,1,2,1,
M34*,1.038,100,8/23/2011,0.005,274,2,7,5,2,0,1,
M34*,1.038,100,8/23/2011,0.01,275,1,5,5,5,1,2,
M34*,1.038,100,8/23/2011,0.01,325,8,5,6,2,0,0,
M34*,1.038,100,8/23/2011,0.01,295,2,8,6,4,0,3,
M34*,1.038,100,8/23/2011,0.025,272,2,7,14,0,1,0,
M34*,1.038,100,8/23/2011,0.025,283,0,3,11,5,0,0,
M34*,1.038,100,8/23/2011,0.025,251,3,3,6,4,0,1,
M34*,1.038,100,8/23/2011,0.05,290,5,11,21,4,1,0,
M34*,1.038,100,8/23/2011,0.05,282,3,11,13,2,0,0,
M34*,1.038,100,8/23/2011,0.05,281,3,9,15,5,1,0,
M34*,1.038,100,8/23/2011,0.075,254,4,13,15,4,0,0,
M34*,1.038,100,8/23/2011,0.075,260,6,9,9,4,0,0,
M34*,1.038,100,8/23/2011,0.075,248,2,13,15,3,0,0,
M34*,1.038,100,8/23/2011,0.1,230,3,14,12,3,2,0,
M34*,1.038,100,8/23/2011,0.1,220,6,6,5,2,1,0,
M34*,1.038,100,8/23/2011,0.1,231,3,7,11,2,1,0,
M34*,1.038,100,8/23/2011,0.15,198,6,9,15,3,0,0,
M34*,1.038,100,8/23/2011,0.15,203,7,8,17,2,0,0,
M34*,1.038,100,8/23/2011,0.15,246,4,6,13,5,1,0,
M34*,1.038,100,8/23/2011,0.2,225,6,6,13,2,2,0,
M34*,1.038,100,8/23/2011,0.2,214,10,10,10,2,1,0,
M34*,1.038,100,8/23/2011,0.2,221,5,12,10,2,1,0,
M34*,1.038,10,8/23/2011,0.3,1068,28,33,74,36,9,2,
M34*,1.038,10,8/23/2011,0.3,333,15,14,21,7,0,0,counted 1/4 plate
M34*,1.038,10,8/23/2011,0.3,354,13,18,23,8,1,1,counted 1/4 plate
