ORF	Gene	Class	Deletion.Mean	Deletion.N	WT.mean	WT.N
YAL012W	CYS3	NSE	30.2	25	24.5	25
YAL024C	LTE1	NLL	25.8	10	27	10
YAL047C	SPC72	SL**	4	5	28.8	5
YAL054C	ACS1	NLL	24.5	10	26.1	10
YAL056C-A		NLL	23.6	5	28.8	5
YAR050W	FLO1	NLL	21	5	28.8	5
YBR223C	TDP1	NLL	22.4	10	29.6	10
YBR224W		NLL	24.3	10	29.6	10
YBR225W		SL*	17.6	10	29.6	10
YBR226C		NSE	31.8	20	29.6	20
YBR227C	MCX1	NLL	20	10	29.6	10
YBR228W	SLX1	NSE	26.3	15	25.2	20
YBR229C	ROT2	NLL	23.1	10	29.6	10
YBR230C		NLL	21.4	10	29.6	10
YBR231C	AOR1	SL**	15.9	10	29.6	10
YBR233W	PBP2	NLL	24	10	29.6	10
YBR235W		NLL	24.3	10	29.6	10
YBR238C		LL*	34.9	20	27.9	20
YBR239C		NLL	24.1	10	29.6	10
YBR240C	THI2	NSE	32.5	30	28.4	30
YBR241C		NLL	23.8	10	29.6	10
YBR242W		NSE	27.7	25	26.6	30
YBR244W	GPX2	SL*	19.5	10	29.6	10
YBR245C	ISW1	SL*	18.8	10	29.6	10
YBR246W		NLL	25	10	29.6	10
YBR248C	HIS7	NLL	24.9	10	29.6	10
YBR249C	ARO4	NSE	26.5	15	28.5	15
YBR250W		NLL	25.5	10	29.6	10
YBR255W		LL*	34.1	20	25.5	50
YBR258C	SHG1	SL*	22.5	10	29.6	10
YBR259W		NSE	27.1	30	28.4	30
YBR260C	RGD1	NLL	24.6	10	29.6	10
YBR261C		NSE	33.1	20	27.9	20
YBR262C	FMP51	SL**	17.3	10	29.6	10
YBR263W	SHM1	NSE	28.5	15	28.5	15
YBR264C	YPT10	NLL	23	10	29.6	10
YBR266C		LL**	37.3	80	27.3	80
YBR267W		LL**	37.5	50	27.3	50
YBR299W	MAL32	NLL	24.6	5	28.2	5
YCL006C		NSE	29.5	20	24.8	50
YCL022C		NLL	22	5	28.8	5
YCL023C		NLL	24	5	28.8	5
YCL038C	ATG22	NLL	24.6	5	28.8	5
YCL058C	FYV5	NLL	21	5	28.8	5
YCL074W		SL	17.8	5	28.8	5
YCL075W		NSE	28.5	20	26.3	20
YCL076W		NLL	23	5	28.8	5
YCR107W	AAD3	NSE	27.9	15	25.9	15
YDL047W	SIT4	NSE	30.8	15	26.8	20
YDL061C		NLL	25	5	28.2	5
YDL075W	RPL31A	LL**	32.5	30	25.4	40
YDR049W		SL*	22.4	10	29.6	10
YDR051C		NLL	22.1	10	29.6	10
YDR055W	PST1	NLL	25.3	15	28.5	15
YDR056C		NSE	28.7	20	26.9	30
YDR057W	YOS9	SL**	16.2	10	29.6	10
YDR059C	UBC5	NLL	22.2	10	29.6	10
YDR061W		NLL	25.1	10	29.6	10
YDR063W		NLL	23.8	10	29.6	10
YDR065W		SL**	15.6	10	29.6	10
YDR066C		NSE	27.5	15	28.5	15
YDR067C		NLL	25.6	10	29.6	10
YDR068W	DOS2	NSE	27.4	20	26.9	30
YDR069C	DOA4	SL**	15.8	10	29.6	10
YDR070C	FMP16	SL**	18.6	10	29.6	10
YDR072C	IPT1	SL*	20.6	10	29.6	10
YDR073W	SNF11	NSE	30.5	30	28.4	30
YDR075W	PPH3	SL*	23.8	10	29.6	10
YDR076W	RAD55	SL**	12	10	29.6	10
YDR078C	SHU2	NLL	24.8	10	29.6	10
YDR079W	PET100	NLL	25.2	10	29.6	10
YDR080W	VPS41	SL**	16.7	10	29.6	10
YDR083W	RRP8	NSE	31.1	20	28.1	20
YDR084C	TVP23	SL*	21.4	10	29.6	10
YDR085C	AFR1	NLL	23.4	10	29.6	10
YDR089W		SL*	20.8	10	29.6	10
YDR090C		SL*	24.7	15	28.5	15
YDR092W	UBC13	NLL	22.2	10	29.6	10
YDR093W	DNF2	NLL	22.9	15	25.2	20
YDR094W		NLL	23.6	10	29.6	10
YDR095C		SL**	20.1	10	29.6	10
YDR096W	GIS1	NLL	25	10	29.6	10
YDR097C	MSH6	NSE	30.7	20	26.2	30
YDR098C	GRX3	NSE	27.1	15	28.5	15
YDR099W	BMH2	NSE	26.1	15	28.5	15
YDR100W	TVP15	SL**	15.6	10	29.6	10
YDR101C	ARX1	NLL	26	15	28.5	15
YDR102C		NSE	26.7	20	29.6	20
YDR104C	SPO71	NSE	27.3	15	30.1	20
YDR105C	TMS1	NLL	23.9	10	29.6	10
YDR107C		NLL	24.7	10	29.6	10
YDR108W	GSG1	NLL	24.7	15	28.5	15
YDR109C		NLL	25	10	29.6	10
YDR110W	FOB1	LL**	32.1	40	26.6	40
YDR111C	ALT2	SL	19.7	10	29.6	10
YDR112W		SL*	20.9	10	29.6	10
YDR116C	MRPL1	NLL	23.5	10	29.6	10
YDR117C		NLL	23.2	10	29.6	10
YDR119W		NSE	29.4	25	29.9	30
YDR120C	TRM1	NLL	22.5	10	29.6	10
YDR121W	DPB4	NLL	25.9	10	29.6	10
YDR122W	KIN1	NLL	25.1	20	29.6	20
YDR123C	INO2	NLL	25.5	10	29.6	10
YDR124W		LL*	35.4	20	27.9	20
YDR125C	ECM18	NSE	26.2	20	29.6	20
YDR126W	SWF1	SL**	15.1	10	29.6	10
YDR128W		SL**	19.6	10	29.6	10
YDR129C	SAC6	SL**	10.5	20	29.6	20
YDR130C	FIN1	SL*	19.9	10	29.6	10
YDR131C		NLL	24.7	10	29.6	10
YDR132C		SL**	17.9	10	29.6	10
YDR133C		NLL	22.9	10	29.6	10
YDR134C		SL*	19.8	10	29.6	10
YDR242W	AMD2	NLL	24.6	20	26.6	20
YDR244W	PEX5	NSE	27.3	20	26.9	35
YDR245W	MNN10	NSE	32.5	20	25.9	55
YDR247W	VHS1	LL*	34	20	25.9	55
YDR248C		LL*	34.6	25	29.5	25
YDR249C		NLL	25	15	29.1	20
YDR250C		NSE	32.8	20	28.6	25
YDR251W	PAM1	NSE	29.9	20	26.9	35
YDR252W	BTT1	NLL	24.8	5	29	5
YDR253C	MET32	NSE	28.7	15	29.1	20
YDR254W	CHL4	NLL	22.6	10	27.4	10
YDR255C	RMD5	NSE	27.5	15	27.1	15
YDR256C	CTA1	NSE	29.9	20	26.9	35
YDR257C	RMS1	NLL	25.8	5	29	5
YDR258C	HSP78	NLL	25.2	10	27.4	10
YDR259C	YAP6	NLL	24.1	10	27.4	10
YDR260C	SWM1	NSE	31.1	20	26.9	35
YDR261C	EXG2	SL	19.8	5	29	5
YDR262W		NLL	21.4	5	29	5
YDR263C	DIN7	NLL	22.6	5	29	5
YDR264C	AKR1	SL**	7.2	5	29	5
YDR265W	PEX10	NLL	21.4	5	29	5
YDR266C		NSE	30.4	20	26.9	35
YDR268W	MSW1	NSE	36.1	15	29.4	15
YDR270W	CCC2	SL	17.8	5	29	5
YDR272W	GLO2	NLL	21.4	5	29	5
YDR273W	DON1	SL	19.8	5	29	5
YDR274C		LL	35	20	28.6	25
YDR275W	BSC2	NSE	32.1	15	27.3	15
YDR276C	PMP3	NSE	28.6	15	29.1	20
YDR277C	MTH1	NSE	28.7	20	28.6	25
YDR278C		NSE	34.1	15	29.4	15
YDR279W	RNH202	NLL	25.1	15	29.1	20
YDR281C	PHM6	NSE	29.7	20	26.9	35
YDR282C		SL	17	5	29	5
YDR283C	GCN2	NSE	30.6	15	27.3	15
