ORF	Gene_name	Phenotypic_potential	AMS_PPI_degree	LC_SLI_degree	Haploid_fitness	Description
YDR532C	YDR532C	4.724	1	4	0.673	Protein of unknown function that localizes to the nuclear side of the spindle pole body and along short spindles; deletion mutants have short telomeres; forms a complex with Spc105p
YEL036C	ANP1	4.365	10	3	0.58	Subunit of the alpha-1,6 mannosyltransferase complex; type II membrane protein; has a role in retention of glycosyltransferases in the Golgi; involved in osmotic sensitivity and resistance to aminonitrophenyl propanediol
YIL040W	APQ12	4.334	NA	10	0.901	Protein involved in nucleocytoplasmic transport of mRNA
YEL044W	IES6	4.253	9	9	0.932	Protein that associates with the INO80 chromatin remodeling complex under low-salt conditions
YOR080W	DIA2	4.141	33	77	0.757	Origin-binding F-box protein that forms an SCF ubiquitin ligase complex with Skp1p and Cdc53p; plays a role in DNA replication, involved in invasive and pseudohyphal growth
YBL094C	YBL094C	4.125	NA	NA	0.899	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YBL095W
YLR233C	EST1	4.121	16	1	0.88	TLC1 RNA-associated factor involved in telomere length regulation as the recruitment subunit of the telomerase holoenzyme, has a possible role in activating Est2p-TLC1-RNA bound to the telomere
YLR182W	SWI6	4.061	11	37	0.914	Transcription cofactor, forms complexes with DNA-binding proteins Swi4p and Mbp1p to regulate transcription at the G1/S transition; involved in meiotic gene expression; localization regulated by phosphorylation; potential Cdc28p substrate
YNL250W	RAD50	4.035	28	71	0.863	Subunit of MRX complex, with Mre11p and Xrs2p, involved in processing double-strand DNA breaks in vegetative cells, initiation of meiotic DSBs, telomere maintenance, and nonhomologous end joining
YNL139C	RLR1	3.969	15	4	0.77	Subunit of the THO complex, which is required for efficient transcription elongation and involved in transcriptional elongation-associated recombination; required for LacZ RNA expression from certain plasmids
YJL080C	SCP160	3.964	23	2	0.97	Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins
YOL086C	ADH1	3.946	43	NA	0.376	Alcohol dehydrogenase, fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway
YBL058W	SHP1	3.672	15	8	0.32	UBX (ubiquitin regulatory X) domain-containing protein that regulates Glc7p phosphatase activity and interacts with Cdc48p; interacts with ubiquitylated proteins in vivo and is required for degradation of a ubiquitylated model substrate
YDR245W	MNN10	3.619	10	18	0.785	Subunit of a Golgi mannosyltransferase complex also containing Anp1p, Mnn9p, Mnn11p, and Hoc1p that mediates elongation of the polysaccharide mannan backbone; membrane protein of the mannosyltransferase family
YDR159W	SAC3	3.472	10	22	0.823	Nuclear pore-associated protein, forms a complex with Thp1p that is involved in transcription and in mRNA export from the nucleus
YPR135W	CTF4	3.435	5	120	0.754	Chromatin-associated protein, required for sister chromatid cohesion; interacts with DNA polymerase alpha (Pol1p) and may link DNA synthesis to sister chromatid cohesion
YER155C	BEM2	3.408	26	39	0.959	Rho GTPase activating protein (RhoGAP) involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence
YGL173C	KEM1	3.348	60	26	0.634	Evolutionarily-conserved 5'-3' exonuclease component of cytoplasmic processing (P) bodies involved in mRNA decay; plays a role in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, and telomere maintenance
YKL113C	RAD27	3.28	3	96	0.686	5' to 3' exonuclease, 5' flap endonuclease, required for Okazaki fragment processing and maturation as well as for long-patch base-excision repair; member of the S. pombe RAD2/FEN1 family
YML032C	RAD52	3.266	10	60	0.912	Protein that stimulates strand exchange by facilitating Rad51p binding to single-stranded DNA; anneals complementary single-stranded DNA; involved in the repair of double-strand breaks in DNA during vegetative growth and meiosis
YHR191C	CTF8	3.244	3	74	NA	Subunit of a complex with Ctf18p that shares some subunits with Replication Factor C and is required for sister chromatid cohesion
YDR369C	XRS2	3.206	9	30	0.906	Protein required for DNA repair; component of the Mre11 complex, which is involved in double strand breaks, meiotic recombination, telomere maintenance, and checkpoint signaling
YDR138W	HPR1	3.145	18	13	0.499	Subunit of THO/TREX complexes that couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p
YDR200C	VPS64	3.135	6	4	0.69	Cytoplasmic protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p, Far7p, Far10p, and Far11p that is involved in pheromone-induced cell cycle arrest; also localized to the endoplasmic reticulum membrane
YNL059C	ARP5	3.128	16	NA	0.397	Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes
YDL116W	NUP84	3.125	17	18	0.709	Subunit of the nuclear pore complex (NPC), forms a subcomplex with Nup85p, Nup120p, Nup145p-C, Sec13p, and Seh1p that plays a role in nuclear mRNA export and NPC biogenesis
YDL115C	IWR1	3.102	14	5	0.752	Protein of unknown function, deletion causes hypersensitivity to the K1 killer toxin
YKL204W	EAP1	3.095	7	7	0.844	eIF4E-associated protein, binds eIF4E and inhibits cap-dependent translation, also functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade
