"rank","ORF","GENE","Putative TOR pathway","1 week ","2 week ","5 week ","7 weeks","Description","Function","Localization"
1,"YCL025C","AGP1","*",1.94,9.68,8.27,245.6,"amino acid transport","amino acid transporter activity","plasma membrane"
2,"YJL129C","TRK1",,1.57,7.32,7.77,190.23,"potassium ion homeostasis","potassium ion transporter activity","plasma membrane"
3,"YIL094C","LYS12","*",1.8,9.42,6.91,145.07,"lysine biosynthesis","isocitrate dehydrogenase activity","cytoplasm*"
4,"YDR019C","GCV1",,1.29,1.54,0.09,107.19,"one-carbon compound metabolism*","glycine dehydrogenase (decarboxylating) activity","mitochondrion"
5,"YER091C-A",,,1.23,3.73,4.85,95.75,,,
6,"YHR204W","MNL1",,2.04,9.68,6.56,69.37,"ER-associated protein catabolism","carbohydrate binding","endoplasmic reticulum"
7,"YDL173W",,,1,5.4,5.62,38.79,"biological_process unknown","molecular_function unknown","cytoplasm"
8,"YDL172C",,,1.03,6.45,6.12,32.53,,,
9,"YLL007C",,,2.48,7.82,4.8,28.67,"biological_process unknown","molecular_function unknown","cytoplasm"
10,"YGR057C","LST7",,1.41,2.99,2.43,34.78,"vesicle-mediated transport*","protein transporter activity","vesicle coat"
11,"YGL197W","MDS3",,2.61,10.43,8.79,20.79,"sporulation","molecular_function unknown","cytoplasm"
12,"YGR027C","RPS25A",,2.03,5.01,6.2,23.62,"protein biosynthesis","structural constituent of ribosome","cytosolic small ribosomal subunit (sensu Eukarya)"
13,"YML121W","GTR1","*",1.15,2.47,0.97,29.62,"phosphate transport","small monomeric GTPase activity","cytoplasm*"
14,"YHL034C","SBP1",,2.07,8.16,8.16,14.27,"RNA metabolism","RNA binding","nucleolus"
15,"YLL013C","PUF3",,2.3,6.89,7.87,15.18,"mRNA catabolism, deadenylation-dependent","mRNA binding","cytoplasm"
16,"YBR077C",,,0.9,3,3.75,22.83,"biological_process unknown","molecular_function unknown","cytoplasm*"
17,"YJR066W","TOR1","*",2.17,3.52,7.8,15.06,"meiosis*","protein binding*","plasma membrane*"
18,"YEL014C",,,1.96,4.38,6.39,15.49,,,
19,"YKL046C","DCW1",,2.43,4.3,5.08,16.73,"cell wall biosynthesis (sensu Fungi)","molecular_function unknown","membrane fraction*"
20,"YDR221W",,,1.38,2.59,3.62,18.03,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
21,"YHR158C","KEL1",,1.85,2.84,4.37,15.85,"cellular morphogenesis*","molecular_function unknown","cytoplasm*"
22,"YPL182C",,,2.24,5.58,6.05,10.88,,,
23,"YGL203C","KEX1",,2.05,2.89,3.19,15.68,"protein processing","carboxypeptidase D activity","Golgi trans face"
24,"YJL165C","HAL5",,2.29,8.71,8.61,4.17,"cation homeostasis","protein kinase activity","cellular_component unknown"
25,"YGR163W","GTR2","*",1.1,1.07,1.29,18.63,"biological_process unknown","small monomeric GTPase activity","cytoplasm*"
26,"YLR152C",,,1.82,2.6,5.24,13.02,"biological_process unknown","molecular_function unknown","cellular_component unknown"
27,"YOR179C","SYC1",,1.87,2.69,5.42,12.63,"transcription termination from Pol II promoter, poly(A) independent*","molecular_function unknown","nucleus*"
28,"YNL142W","MEP2","*",0.15,1.03,5.51,13.14,"pseudohyphal growth*","ammonium transporter activity","plasma membrane"
29,"YPR158W",,,1.77,2.74,4.17,12.44,"biological_process unknown","molecular_function unknown","cellular_component unknown"
30,"YHR139C","SPS100",,2.09,2.82,4.67,11.78,"spore wall assembly (sensu Saccharomyces)","molecular_function unknown","spore wall (sensu Fungi)"
31,"YGR043C",,,1.66,3.45,5.12,10.6,"biological_process unknown","transaldolase activity","nucleus"
32,"YKR007W",,"*",1.08,1.23,0.98,16.1,"biological_process unknown","molecular_function unknown","vacuolar membrane (sensu Fungi)"
33,"YPL133C","RDS2",,2.06,4.41,4.21,9.63,"response to xenobiotic stimulus","transcription factor activity","cytoplasm*"
34,"YGR044C","RME1",,1.96,3.22,3.91,11.1,"meiosis*","specific transcriptional repressor activity","nucleus"
35,"YOL116W","MSN1",,2.26,4.03,3.7,9.95,"hyperosmotic response","molecular_function unknown","nucleus"
36,"YCR037C","PHO87",,1.2,6.02,6.54,4.99,"phosphate transport","inorganic phosphate transporter activity","membrane"
37,"YHR142W","CHS7",,2.05,2.14,4.03,11.23,"ER to Golgi transport*","molecular_function unknown","endoplasmic reticulum membrane"
38,"YHR125W",,,1.87,2.36,3.49,11.51,,,
39,"YDR490C","PKH1",,2.25,4.78,6.06,6.29,"protein amino acid phosphorylation*","protein kinase activity","cytosol"
40,"YKL175W","ZRT3",,1.19,2.1,2.43,12.59,"zinc ion homeostasis*","zinc ion transporter activity","vacuolar membrane"
41,"YGL252C","RTG2","*",0.9,0.52,0.98,15.57,"intracellular signaling cascade","transcription regulator activity","cytoplasm"
42,"YKR095W","MLP1",,1.23,2.96,4.56,9.52,"protein-nucleus import","molecular_function unknown","nuclear membrane*"
43,"YBL102W","SFT2",,2.2,2.93,7.92,6.15,"Golgi to endosome transport","molecular_function unknown","Golgi membrane"
44,"YHR167W","THP2",,1.88,3.44,2.97,10.59,"mRNA-nucleus export*","nucleic acid binding","THO complex"
45,"YGL139W",,,0.98,3.6,5.4,7.8,"biological_process unknown","molecular_function unknown","integral to membrane"
46,"YIL156W","UBP7",,2.26,7.86,8.51,0.43,"protein deubiquitination","ubiquitin-specific protease activity","cytoplasm"
47,"YHR124W","NDT80",,1.69,1.79,4.43,10.54,"meiosis*","transcription factor activity","nuclear chromosome"
48,"YHR195W","NVJ1",,1.43,2.12,1.85,12.63,"microautophagy","protein binding","nuclear membrane"
49,"YLR428C",,,1.96,1.92,3.37,11.11,,,
50,"YPR138C","MEP3","*",1.87,2.88,3.08,10,"ammonium transport","ammonium transporter activity","plasma membrane"
51,"YHR209W",,,1.79,1.95,4.25,9.75,"biological_process unknown","S-adenosylmethionine-dependent methyltransferase activity","cellular_component unknown"
52,"YPR021C","AGC1","*",1.89,1.84,6.77,7.27,"transport","transporter activity","mitochondrial inner membrane"
